Month_Year,GRACE_Total_Mass_Change,GNET_Avg_Elevation
2008-01,349034.1,-69.01331
2008-02,371748.7,-68.87524
2008-03,383408.4,-70.48487
2008-04,370593.4,-76.17806
2008-05,348870.3,-73.51562
2008-06,350707.8,-69.75825
2008-07,305300.2,-61.746517
2008-08,233065.1,-57.30552
2008-09,208277.7,-56.585682
2008-10,203194,-55.976833
2008-11,235843.6,-57.30375
2008-12,266546.5,-56.05148
2009-01,303116.8,-54.646034
2009-02,272897.5,-56.313908
2009-03,265803.9,-58.73873
2009-04,258262.2,-60.831287
2009-05,282825.5,-57.7265
2009-06,285362.4,-58.68888
2009-07,249746,-56.31533
2009-08,145275,-49.220566
2009-09,127571.7,-48.121414
2009-10,149897.3,-50.2628
2009-11,151088.9,-46.65698
2009-12,175264,-48.372116
2010-01,177623.4,-48.064743
2010-02,171263.5,-50.370396
2010-03,185964.7,-50.29121
2010-04,187347.4,-47.547344
2010-05,191626.4,-48.90963
2010-06,151425,-48.13999
2010-07,59909.8,-43.60277
2010-08,-13533.8,-39.100853
2010-09,-47505.9,-38.437885
2010-10,-25365.7,-36.558044
2010-11,-24019.8,-36.26253
2010-12,-33317.2,-35.649117
2011-02,6015.3,-35.97473
2011-03,6590.1,-34.882973
2011-04,13858.3,-33.39224
2011-05,-6513.8,-36.72122
2011-07,-88010.7,-35.686527
2011-08,-155824,-30.317802
2011-09,-175693.2,-26.916517
2011-10,-192527.3,-26.564445
2011-12,-171588,-20.388443
2012-01,-172339.5,-21.73862
2012-02,-161013,-22.380365
2012-03,-140310.8,-23.15217
2012-04,-136540.4,-26.10709
2012-06,-153286.5,-28.658804
2012-07,-208131,-20.55482
2012-08,-361390,-15.339514
2012-09,-416792.9,-12.921593
2012-11,-386435.7,-12.107376
2012-12,-370924.5,-13.690009
2013-01,-357945.4,-12.577965
2013-02,-363512,-13.886578
2013-04,-369253.9,-17.111752
2013-05,-337706.2,-15.322614
2013-06,-320440.9,-15.970971
2013-07,-383209.3,-14.2285795
2013-10,-412861,-8.020033
2013-11,-409989.9,-6.9795156
2013-12,-392062.8,-10.3012
2014-01,-398847.8,-10.722279
2014-03,-376577.9,-7.5479527
2014-04,-371357.8,-11.055741
2014-05,-350586.3,-13.185254
2014-06,-372449.7,-13.740672
2014-08,-513693.1,-5.026312
2014-09,-502513.2,-2.0810168
2014-10,-499904.9,-2.5319016
2014-11,-490735.2,-3.05477
2015-01,-478083.4,-0.9086356
2015-02,-453352.9,-0.9235628
2015-03,-445452.7,-1.8936541
2015-04,-454809.9,-3.410988
2015-07,-531300.8,-5.05672
2015-08,-573952.3,0.28041676
2015-09,-597426.5,2.882213
2015-12,-559990.7,1.8609807
2016-01,-524687.2,0.19159207
2016-02,-553980.6,3.4398959
2016-03,-538230.9,3.447999
2016-05,-515194.6,-3.5130801
2016-06,-522026.9,-0.8459652
2016-07,-593180.4,2.0201004
2016-08,-710025.7,9.371469
2016-11,-637800.9,11.227159
2016-12,-679482,10.45157
2017-01,-615461,11.635128
2017-03,-637544.6,10.467766
2017-04,-618966.3,7.3118014
2017-05,-623926.1,2.8411984
2017-06,-642444.9,6.2265396
2018-06,-665917.7,7.6263957
2018-07,-687178.7,11.875968
2018-10,-749214.9,16.290438
2018-11,-753255.9,14.240591
2018-12,-714755.4,16.121449
2019-01,-713541.2,17.927126
2019-02,-713827.1,14.632903
2019-03,-718928.4,15.577263
2019-04,-720566.3,11.248125
2019-05,-735194.6,10.970799
2019-06,-734787.1,12.51357
2019-07,-815921.5,19.192291
2019-08,-905325.8,23.34044
2019-09,-958594,25.915844
2019-10,-969008.7,24.325804
2019-11,-949606.8,26.352802
2019-12,-911065.2,27.952808
2020-01,-916136.4,24.859127
2020-02,-928004.7,25.982777
2020-03,-958704.2,22.848976
2020-04,-947168.9,23.175222
2020-05,-917919.4,21.77671
2020-06,-915427.7,24.416061
2020-07,-970832.2,28.021372
2020-08,-1043635.6,31.331236
2020-09,-1043093.4,34.68467
2020-10,-1005800.2,35.33215
2020-11,-980663.5,34.72706
2020-12,-1001959.7,35.37171
2021-01,-994129.2,35.24388
2021-02,-1001815,30.726252
2021-03,-991856.2,32.77603
2021-04,-973905.6,31.69115
2021-05,-991181,30.759384
2021-06,-1006768.3,32.301582
2021-07,-1028535.8,34.217815
2021-08,-1099991.8,39.195614
2021-09,-1087940.3,41.632973
2021-10,-1109519.3,41.77736
2021-11,-1106783.8,42.60196
2021-12,-1109037.8,42.702557
2022-01,-1104973,41.427765
2022-02,-1073685.1,39.01917
2022-03,-1039049.8,37.33901
2022-04,-1042986.7,36.23903
2022-05,-1087405.4,36.917923
2022-06,-1091965.5,35.83026
2022-07,-1101675.6,38.775417
2022-08,-1140158.3,41.907917
2022-09,-1147609.6,45.073067
2022-10,-1179013.4,47.563087
2022-11,-1168709,45.284466
2022-12,-1149351.7,43.471485
2023-01,-1138907.9,46.894352
2023-02,-1129370.4,46.659878
2023-03,-1110920.1,44.131092
2023-04,-1112880.9,40.67296
2023-05,-1135090.7,42.262436
2023-06,-1100476.9,38.953888
2023-07,-1123078.6,43.295055
2023-08,-1243908.2,48.56115
2023-09,-1270669.8,51.9676
2023-10,-1265757,52.452034
2023-11,-1224711,52.887325
2023-12,-1211003.7,53.968018
2024-01,-1198102.5,53.255547
2024-02,-1200150.2,53.646263
2024-03,-1185724.2,51.91091
2024-04,-1201229.8,48.520096
2024-05,-1177246,49.507664
